model,epoch,train_loss,epoch_seconds,validation_hr@10,validation_hr@5,validation_ndcg@10,validation_ndcg@5,validation_sampled_auc
mlp,1,0.529222671806916,16.39497240000037,0.4692144373673036,0.2908704883227176,0.23898741565900936,0.18132547385666753,0.8154581912543696
mlp,2,0.32488159723926013,17.562107099999594,0.46178343949044587,0.3067940552016985,0.2484978906999149,0.19824102342239036,0.8204443586609191
mlp,3,0.31286312888373335,15.578046099999483,0.46496815286624205,0.3057324840764331,0.25084670121589475,0.1994364626715977,0.8215809903707992
mlp,4,0.307582515085903,16.13677430000007,0.46390658174097665,0.3078556263269639,0.2492466900035278,0.1985270324005836,0.8213772544982736
mlp,5,0.30563191932021166,16.079924099999516,0.4734607218683652,0.3365180467091295,0.26541455572340045,0.22067665086581298,0.8240472667224259
mlp,6,0.29959122301055047,16.815337899999577,0.5169851380042463,0.39065817409766457,0.3000966572791207,0.2594806854799817,0.8336979133157476
mlp,7,0.29211210149081657,17.603347600000234,0.5870488322717622,0.42144373673036095,0.3356041364148108,0.28205223572515153,0.8525273971133843
mlp,8,0.28150775487198165,16.857373099999677,0.6093418259023354,0.43630573248407645,0.34923728771586493,0.2931911150974056,0.8643976924231702
mlp,9,0.2736250862413188,17.077438299999812,0.6231422505307855,0.445859872611465,0.3522462771088902,0.2947585427932053,0.8695554268802677
mlp,10,0.2680018567080203,17.182062099999712,0.618895966029724,0.44798301486199577,0.36328459546672887,0.3078161459555742,0.8729009843659525
mlp,11,0.26586535946806394,17.326859400000103,0.638004246284501,0.45222929936305734,0.3690006046392295,0.30899210374562813,0.8758819618692231
mlp,12,0.26000840245336904,16.822599000000082,0.6454352441613588,0.4723991507430998,0.37058440874859205,0.3148559236385663,0.8776512470779987
mlp,13,0.2526165858465192,12.573446899999908,0.6464968152866242,0.4819532908704883,0.3738814676066869,0.3208166251180741,0.8809217439790687
mlp,14,0.24479072521428688,8.373713999999381,0.6507430997876857,0.4819532908704883,0.3781979497574159,0.32313023796867046,0.8854361019966116
mlp,15,0.2366638061598728,11.567283100000168,0.6687898089171974,0.4872611464968153,0.39092770072033206,0.33213113012946277,0.8898861223701988
mlp,16,0.2305172881256883,8.223937600000681,0.6772823779193206,0.5010615711252654,0.39865157808668816,0.34152372982449286,0.8925775804756697
mlp,17,0.22618319749942467,17.562375900000006,0.6857749469214437,0.5063694267515924,0.41197143312925155,0.35369711058625036,0.8938107186514829
mlp,18,0.22062539514741636,17.181962300000123,0.6889596602972399,0.5106157112526539,0.41320298840999004,0.3546911692192861,0.8949902421240001
mlp,19,0.21750888054219025,17.088335200000074,0.6847133757961783,0.5180467091295117,0.4125371090582671,0.35831439318623676,0.8938965021767569
mlp,20,0.2151033193785607,17.069721700000628,0.6868365180467091,0.505307855626327,0.41374437131199115,0.35404561711478744,0.8957837397327842
