model,epoch,train_loss,epoch_seconds,validation_hr@10,validation_hr@5,validation_ndcg@10,validation_ndcg@5,validation_sampled_auc
neumf,1,0.5266922043559729,19.404168299999583,0.470276008492569,0.29723991507430997,0.23695547864039812,0.1809016510449437,0.8170237405906196
neumf,2,0.33513948317487013,19.16062509999938,0.4734607218683652,0.31528662420382164,0.2641548848130644,0.21308033407656518,0.8220742456411245
neumf,3,0.31823637016654244,18.597127800000635,0.4713375796178344,0.3195329087048832,0.2609513075897036,0.21201248871670916,0.8254948637114242
neumf,4,0.30309005190993593,18.873130400000264,0.49150743099787686,0.3343949044585987,0.27411711847626274,0.22315901398171287,0.8326577880718008
neumf,5,0.29076427698037316,17.8444970999999,0.5509554140127388,0.3821656050955414,0.30794433978244873,0.25368779723400897,0.8457397756760814
neumf,6,0.27567538514236617,16.526974499999596,0.5753715498938429,0.42462845010615713,0.33138346712315675,0.28240690615815645,0.8573956121726823
neumf,7,0.26460255328128823,6.492026000000806,0.5976645435244161,0.4426751592356688,0.3442240330817189,0.2939685960092712,0.8660811941066718
neumf,8,0.2559318124222806,6.187977399999909,0.618895966029724,0.4564755838641189,0.3552868979421093,0.3032335213679583,0.8717429067747539
neumf,9,0.2485620598433804,6.23794800000087,0.6316348195329087,0.4564755838641189,0.3640026948591899,0.307398763174584,0.8770614853417401
neumf,10,0.24289487652754022,10.025713099999848,0.6401273885350318,0.46284501061571126,0.3690016014483251,0.31247553821482055,0.8800639087263292
neumf,11,0.24030378890839604,17.91679010000007,0.6475583864118896,0.4554140127388535,0.3736050376277314,0.31146698676492124,0.8834845267966287
neumf,12,0.23535734549326623,17.974976700000298,0.6507430997876857,0.46390658174097665,0.37915899948478937,0.31875400690378064,0.8853074267087004
neumf,13,0.2316880617125611,17.57991839999977,0.6602972399150743,0.4713375796178344,0.3821404329315063,0.3212009400549775,0.8884706942031784
neumf,14,0.22794193968563223,10.44913220000035,0.6645435244161358,0.4851380042462845,0.3889716763706599,0.3312267675143162,0.8912157670119453
neumf,15,0.22307523679531366,5.712842799999635,0.6666666666666666,0.4830148619957537,0.390009513479822,0.330784671255576,0.8933925239657723
neumf,16,0.21936861710298264,6.729959700000109,0.6740976645435244,0.49256900212314225,0.39811545731826414,0.3399369060186909,0.8952583156404813
neumf,17,0.21490847653020076,16.230112700000063,0.6772823779193206,0.49256900212314225,0.40445407588893195,0.3447868001945481,0.8970276008492569
neumf,18,0.21028443503133787,16.46390920000067,0.6889596602972399,0.5021231422505308,0.4086239283406094,0.34851051843195696,0.8980570031525446
neumf,19,0.2068720179850485,16.47965379999914,0.6836518046709129,0.505307855626327,0.4131426194524223,0.355359056429379,0.8993973707349503
neumf,20,0.20405465383471585,18.0458378000003,0.6868365180467091,0.4989384288747346,0.41319164329531355,0.3522021825915563,0.9008020759613115
