0	<pad>
1	<unk>
2	<sos>
3	<eos>
4	.
5	is
6	a
7	Eagle
8	the
9	and
10	friendly
11	food
12	of
13	near
14	in
15	rating
16	Alimentum
17	customer
18	with
19	riverside
20	located
21	5
22	it
23	price
24	restaurant
25	family
26	coffee
27	shop
28	range
29	has
30	out
31	city
32	than
33	centre
34	for
35	20
36	high
37	serves
38	low
39	an
40	not
41	that
42	at
43	average
44	pub
45	caf
46	japanese
47	priced
48	french
49	fast
50	italian
51	rated
52	area
53	30
54	less
55	to
56	by
57	indian
58	prices
59	children
60	cheap
61	kid
62	there
63	more
64	called
65	child
66	but
67	3
68	1
69	offers
70	english
71	on
72	you
73	25
74	are
75	moderate
76	chinese
77	place
78	ratings
79	customers
80	serving
81	which
82	star
83	kids
84	s
85	can
86	moderately
87	river
88	rouge
89	highly
90	they
91	rainbow
92	vegetarian
93	its
94	from
95	named
96	if
97	sicilia
98	center
99	be
100	expensive
101	have
102	cuisine
103	this
104	close
105	try
106	found
107	provides
108	looking
109	pounds
110	as
111	great
112	good
113	families
114	non
115	also
116	only
117	cost
118	five
119	environment
120	sells
121	next
122	offering
123	brazil
124	situated
125	atmosphere
126	establishment
127	stars
128	venue
129	no
130	eat
131	one
132	very
133	find
134	sushi
135	along
136	adriatic
137	adult
138	t
139	between
140	over
141	higher
142	under
143	wine
144	costs
145	serve
146	meals
147	euros
148	your
149	go
150	mid
151	yes
152	service
153	meal
154	providing
155	although
156	reviews
157	style
158	adults
159	suitable
160	their
161	re
162	affordable
163	eatery
164	inexpensive
165	will
166	three
167	then
168	visit
169	menu
170	however
171	quality
172	received
173	served
174	welcome
175	ranging
176	around
177	rate
178	dining
179	within
180	enjoy
181	medium
182	all
183	location
184	where
185	north
186	isn
187	cheese
188	excellent
189	just
190	well
191	does
192	recommended
193	we
194	whole
195	above
196	dishes
197	though
198	while
199	get
200	known
201	come
202	british
203	reasonable
204	side
205	or
206	up
207	been
208	down
209	costing
210	experience
211	want
212	being
213	foods
214	end
215	pricing
216	best
217	some
218	outside
219	right
220	name
221	offer
222	i
223	ranges
224	given
225	nearby
226	nice
227	per
228	cambridge
229	poor
230	take
231	reasonably
232	hotel
233	drinks
234	our
235	check
236	fries
237	fare
238	plaza
239	about
240	crown
241	town
242	pricey
243	burgers
244	fine
245	head
246	was
247	delicious
248	l20
249	budget
250	quite
251	so
252	satisfaction
253	bring
254	cheeses
255	conveniently
256	give
257	lower
258	starting
259	beside
260	choice
261	poorly
262	even
263	oriented
264	view
265	welcomes
266	below
267	like
268	road
269	available
270	boasts
271	decent
272	setting
273	variety
274	gets
275	look
276	new
277	option
278	would
279	allowed
280	pasta
281	averagely
282	breakfast
283	items
284	selling
285	drink
286	type
287	perfect
288	dine
289	pay
290	wines
291	bar
292	friends
293	too
294	expect
295	twenty
296	value
297	away
298	joint
299	may
300	provide
301	worth
302	despite
303	fairly
304	ideal
305	recommend
306	fair
307	far
308	receives
309	spirits
310	across
311	considered
312	eating
313	little
314	review
315	because
316	bit
317	features
318	free
319	person
320	those
321	dollars
322	don
323	point
324	both
325	burger
326	could
327	having
328	spend
329	beautiful
330	caters
331	do
332	l30
333	other
334	rank
335	further
336	home
337	popular
338	should
339	who
340	american
341	had
342	ranged
343	slightly
344	based
345	cater
346	ll
347	lovely
348	money
349	reviewed
350	stop
351	traditional
352	upscale
353	us
354	here
355	local
356	night
357	public
358	usually
359	amazing
360	love
361	yet
362	bad
363	off
364	please
365	rates
366	sell
367	sits
368	typically
369	what
370	friend
371	might
372	outskirts
373	people
374	among
375	asian
376	beverages
377	euro
378	house
379	really
380	start
381	unfortunately
382	views
383	earned
384	featuring
385	fruit
386	got
387	pretty
388	small
389	delivers
390	full
391	when
392	without
393	aren
394	cheaply
395	doesn
396	plus
397	them
398	clentele
399	comes
400	leave
401	quick
402	riverfront
403	services
404	sure
405	wide
406	00
407	district
408	lies
409	lowly
410	most
411	options
412	short
413	snacks
414	unfriendly
415	allow
416	eats
417	lunch
418	outstanding
419	scores
420	searching
421	selection
422	servers
423	sited
424	somewhere
425	specializes
426	spot
427	wonderful
428	Eagles
429	banks
430	charges
431	costly
432	due
433	generally
434	greater
435	level
436	list
437	makes
438	offered
439	ranked
440	reduced
441	score
442	ages
443	boasting
444	dinner
445	distance
446	hamburgers
447	much
448	opened
449	overall
450	restaurants
451	something
452	spaghetti
453	suited
454	themed
455	top
456	after
457	convenient
458	costumer
459	entire
460	heart
461	light
462	locate
463	still
464	thames
465	typical
466	alcohol
467	better
468	bill
469	bite
470	buy
471	cheaper
472	day
473	east
474	every
475	falls
476	fruits
477	fun
478	including
479	inside
480	let
481	middle
482	neat
483	now
484	oriental
485	outlet
486	pound
487	receiving
488	site
489	such
490	tasty
491	why
492	4
493	allows
494	chips
495	college
496	corner
497	deals
498	deliveries
499	fancy
500	fantastic
501	going
502	grub
503	join
504	mind
505	note
506	open
507	placed
508	provided
509	set
510	ship
511	st
512	standard
513	tasting
514	5of5
515	averages
516	aware
517	catering
518	consumer
519	d
520	facilities
521	fondue
522	fresh
523	goes
524	grab
525	hight
526	includes
527	mood
528	must
529	places
530	previous
531	quiet
532	regarded
533	relatively
534	see
535	seeking
536	steps
537	tag
538	taste
539	towards
540	upwards
541	use
542	waterfront
543	young
544	authentic
545	averaging
546	bakers
547	call
548	cam
549	chain
550	class
551	craving
552	currently
553	definitely
554	described
555	e20
556	facility
557	favorite
558	into
559	john
560	lot
561	luton
562	made
563	make
564	many
565	margin
566	modest
567	need
568	needs
569	prepared
570	selections
571	since
572	sit
573	soft
574	soup
575	staying
576	styled
577	unsuitable
578	warm
579	welcomed
580	welcoming
581	yourself
582	zone
583	age
584	alternative
585	awesome
586	block
587	breakfasts
588	classic
589	client
590	decently
591	delicacies
592	desserts
593	everyone
594	exclusive
595	extremely
596	fall
597	feed
598	hors
599	know
600	licensed
601	loved
602	loves
603	main
604	mediocre
605	my
606	names
607	order
608	perhaps
609	plates
610	premium
611	products
612	rage
613	rave
614	relax
615	rice
616	scoring
617	shops
618	sorry
619	soups
620	spending
621	street
622	terrible
623	wallet
624	whose
625	wrong
626	alcoholic
627	alongside
628	always
629	ambiance
630	amenities
631	another
632	approval
633	approximately
634	ate
635	board
636	bracket
637	bread
638	business
639	choose
640	competitive
641	couples
642	door
643	e30
644	eggs
645	famous
646	few
647	getting
648	gives
649	glass
650	gourmet
651	groups
652	he
653	hello
654	highest
655	his
656	interested
657	match
658	mature
659	moment
660	normal
661	oeuvres
662	ok
663	past
664	picnic
665	policy
666	quaint
667	scale
668	scored
669	seafood
670	server
671	sold
672	somewhat
673	specializing
674	store
675	suit
676	tastes
677	thats
678	theme
679	thirty
680	time
681	upper
682	usual
683	wanting
684	willing
685	won
686	25l
687	acclaimed
688	appetizers
689	bank
690	beans
691	beluga
692	bistro
693	breads
694	busy
695	cant
696	central
697	centrally
698	charging
699	coming
700	date
701	dollar
702	edge
703	enjoyed
704	entries
705	ever
706	finest
707	freshly
708	fry
709	gbp
710	geared
711	heard
712	hold
713	keep
714	locates
715	lots
716	maybe
717	means
718	miles
719	moderated
720	n
721	offerings
722	okay
723	parents
724	park
725	penny
726	permitted
727	pick
728	prince
729	rather
730	receive
731	respected
732	rivers
733	run
734	same
735	sat
736	shopping
737	sitting
738	soon
739	special
740	starred
741	starts
742	stunning
743	super
744	superb
745	theres
746	treat
747	two
748	various
749	walking
750	whit
751	winery
752	30lb
753	3of5
754	Eaglen
755	according
756	adjacent
757	aimed
758	anyone
759	appropriate
760	back
761	bargain
762	beat
763	besides
764	break
765	care
766	catered
767	chines
768	clients
769	consumers
770	cool
771	curry
772	dear
773	different
774	downtown
